File Name,PlotterScan
Date,2026-03-14
Time,16:06:09
Type,Line
Number Points X,5
Number Points Y,5

Messeinstellungen,Marker Peak
Start Frequency,1e+07 DBM
End Frequency,5e+07 DBM
Referenz Pegel,0
HF-Daempfung,0
Amplituden Einheit,DBM
Aufloesebandbreite (RBW),300000
Videobandbreite (VBW),300000
Detektor,POS

ID,0
[1;1] Freq,4.77564e+07
[1;1] Amp,-82.2075
[1;2] Freq,4.89103e+07
[1;2] Amp,-82.8527
[1;3] Freq,2.89744e+07
[1;3] Amp,-82.1685
[1;4] Freq,1.73077e+07
[1;4] Amp,-82.748
[1;5] Freq,2.87179e+07
[1;5] Amp,-82.0723
[2;1] Freq,1.83974e+07
[2;1] Amp,-81.6538
[2;2] Freq,3.71795e+07
[2;2] Amp,-82.4506
[2;3] Freq,2.66026e+07
[2;3] Amp,-82.7427
[2;4] Freq,1.55769e+07
[2;4] Amp,-82.2571
[2;5] Freq,2.57051e+07
[2;5] Amp,-82.219
[3;1] Freq,1.89744e+07
[3;1] Amp,-82.3992
[3;2] Freq,1.17949e+07
[3;2] Amp,-83.401
[3;3] Freq,3.73077e+07
[3;3] Amp,-83.1116
[3;4] Freq,4.64744e+07
[3;4] Amp,-82.9022
[3;5] Freq,2.83333e+07
[3;5] Amp,-82.7764
[4;1] Freq,7.8772e+09
[4;1] Amp,0
[4;2] Freq,1.64744e+07
[4;2] Amp,-82.316
[4;3] Freq,3.20513e+07
[4;3] Amp,-82.6679
[4;4] Freq,4.42308e+07
[4;4] Amp,-83.1017
[4;5] Freq,4.46795e+07
[4;5] Amp,-82.974
[5;1] Freq,4.69231e+07
[5;1] Amp,-83.0006
[5;2] Freq,4.80128e+07
[5;2] Amp,-82.6991
[5;3] Freq,4.30769e+07
[5;3] Amp,-83.2026
[5;4] Freq,4.01282e+07
[5;4] Amp,-82.3891
[5;5] Freq,3.87179e+07
[5;5] Amp,-83.1347
